ventana_id,accion,coordenadas,fecha_hora
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(729), np.int64(225))",2024-12-13 14:38:20
RuneLite - Umbradeath,clic_imagen,"(np.int64(697), np.int64(225))",2024-12-13 14:38:23
RuneLite - Umbradeath,clic_imagen,"(np.int64(697), np.int64(522))",2024-12-13 14:38:27
RuneLite - Umbradeath,clic_imagen,"(np.int64(729), np.int64(225))",2024-12-13 14:38:30
RuneLite - Umbradeath,clic_imagen,"(np.int64(675), np.int64(225))",2024-12-13 14:50:23
RuneLite - Umbradeath,clic_imagen,"(np.int64(675), np.int64(522))",2024-12-13 14:50:25
RuneLite - Umbradeath,clic_imagen,"(np.int64(707), np.int64(225))",2024-12-13 14:50:26
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(675), np.int64(225))",2024-12-13 14:50:37
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(675), np.int64(522))",2024-12-13 14:50:41
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(707), np.int64(225))",2024-12-13 14:50:43
RuneLite - Umbradeath,clic_imagen,"(np.int64(675), np.int64(225))",2024-12-13 14:52:18
RuneLite - Umbradeath,clic_imagen,"(np.int64(675), np.int64(522))",2024-12-13 14:52:21
RuneLite - Umbradeath,clic_imagen,"(np.int64(707), np.int64(225))",2024-12-13 14:52:23
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(675), np.int64(225))",2024-12-13 14:52:30
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(675), np.int64(522))",2024-12-13 14:52:31
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(707), np.int64(225))",2024-12-13 14:52:33
